user_id,posted,item_id,helpful,recommend,sentiment_analysis,sentiment_label
76561197970982479,"Posted July 15, 2011.",22200,No ratings yet,True,0.2263,2
js41637,"Posted September 8, 2013.",227300,0 of 1 people (0%) found this review helpful,True,0.955,2
evcentric,"Posted December 4, 2015.",370360,No ratings yet,True,0.6597,2
doctr,"Posted July 28, 2012.",20920,1 of 1 people (100%) found this review helpful,True,0.9866,2
maplemage,"Posted December 23, 2013.",211820,12 of 16 people (75%) found this review helpful,True,0.6597,2
Wackky,"Posted December 24, 2012.",207610,1 of 1 people (100%) found this review helpful,True,-0.6486,0
76561198089393905,"Posted June 20, 2014.",440,3 of 3 people (100%) found this review helpful,True,0.0,1
76561198077246154,"Posted August 25, 2014.",304930,No ratings yet,True,0.0,1
death-hunter,"Posted March 30, 2015.",1250,No ratings yet,True,0.4215,2
DJKamBer,"Posted April 27, 2013.",570,0 of 1 people (0%) found this review helpful,True,0.9124,2
Rainbow-Dashie,"Posted September 20, 2014.",440,0 of 2 people (0%) found this review helpful,True,0.4404,2
devvonst,"Posted February 9, 2014.",218740,0 of 1 people (0%) found this review helpful,True,0.2732,2
starkillershadow553,Posted August 23.,242130,No ratings yet,True,-0.3612,0
76561198048353577,Posted May 16.,4000,0 of 1 people (0%) found this review helpful,True,-0.743,0
76561198066046412,"Posted May 19, 2015.",219640,1 of 5 people (20%) found this review helpful,True,0.6369,2
76561198070565427,"Posted August 21, 2015.",208090,No ratings yet,True,0.2732,2
KanadeTheNeko,"Posted May 29, 2014.",4000,8 of 10 people (80%) found this review helpful,True,0.3612,2
76561198054540475,"Posted December 26, 2014.",265210,No ratings yet,True,0.0,1
76561198085547365,Posted June 16.,34900,No ratings yet,True,0.0258,1
boydeer,"Posted August 24, 2015.",383080,4 of 7 people (57%) found this review helpful,False,0.0,1
76561198075277292,"Posted September 11, 2015.",570,No ratings yet,True,0.8413,2
76561198028895010,"Posted May 27, 2012.",620,No ratings yet,True,-0.2755,0
diego9031,Posted July 28.,317360,0 of 1 people (0%) found this review helpful,True,0.0,1
76561198070194565,Posted May 7.,449140,No ratings yet,True,0.0,1
UTNerd24,"Posted December 2, 2015.",440,1 of 2 people (50%) found this review helpful,True,0.0,1
lucaswerg,"Posted November 14, 2014.",222880,1 of 2 people (50%) found this review helpful,True,0.0,1
Life-Of-Blu,"Posted December 15, 2013.",211820,No ratings yet,True,0.8689,2
iamthekingofbrowntown,"Posted September 13, 2015.",252950,1 of 1 people (100%) found this review helpful,True,0.0,1
yookobz,"Posted June 25, 2013.",219150,No ratings yet,True,0.7845,2
Posiblydead,"Posted February 22, 2014.",239820,No ratings yet,True,0.9491,2
76561198102421718,"Posted August 3, 2015.",274940,0 of 1 people (0%) found this review helpful,True,0.6155,2
